epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.6843,0.91529,1.85881,1.21272,0.77149,0.80222,0.85055,0.66684,0.81089,0.8663,1.1854,0.000184631,0.000184631,0.000184631
2,179.598,0.89007,0.96563,1.15144,0.7246,0.82925,0.83006,0.64281,0.83187,0.88512,1.21505,0.000362639,0.000362639,0.000362639
3,263.95,0.88935,0.91686,1.14608,0.70449,0.82448,0.84909,0.66021,0.84782,0.91234,1.17337,0.000533308,0.000533308,0.000533308
4,347.277,0.88169,0.8506,1.14239,0.80728,0.8968,0.89804,0.70397,0.80024,0.69435,1.14695,0.000522974,0.000522974,0.000522974
5,430.954,0.86763,0.80815,1.1382,0.86139,0.86293,0.91519,0.71989,0.81747,0.67607,1.15736,0.000511965,0.000511965,0.000511965
6,515.893,0.85043,0.74321,1.12437,0.846,0.89853,0.91616,0.73209,0.77771,0.64286,1.1352,0.000500956,0.000500956,0.000500956
7,600.248,0.84131,0.7137,1.12183,0.83563,0.90111,0.92739,0.73953,0.77494,0.59667,1.12911,0.000489947,0.000489947,0.000489947
8,684.571,0.82579,0.67461,1.116,0.8328,0.87665,0.92298,0.73802,0.79669,0.63831,1.1539,0.000478938,0.000478938,0.000478938
9,767.803,0.80876,0.64318,1.10273,0.847,0.88996,0.91761,0.73757,0.7781,0.5669,1.13356,0.00046793,0.00046793,0.00046793
10,851.928,0.81134,0.64034,1.10856,0.88851,0.89978,0.92918,0.74477,0.75688,0.53982,1.11862,0.000456921,0.000456921,0.000456921
11,936.709,0.78816,0.60564,1.09241,0.8483,0.92621,0.92054,0.74481,0.75873,0.55173,1.11056,0.000445912,0.000445912,0.000445912
12,1021.47,0.79028,0.59517,1.09142,0.88034,0.91352,0.93459,0.75161,0.76405,0.54734,1.12984,0.000434903,0.000434903,0.000434903
13,1105.26,0.77599,0.58334,1.08547,0.86797,0.90884,0.92459,0.75045,0.76612,0.55286,1.12978,0.000423894,0.000423894,0.000423894
14,1189.8,0.76247,0.56834,1.07728,0.86934,0.88665,0.92254,0.75104,0.76548,0.54879,1.11714,0.000412886,0.000412886,0.000412886
15,1274.07,0.76928,0.55719,1.07944,0.86027,0.91882,0.93081,0.75778,0.74017,0.53255,1.10402,0.000401877,0.000401877,0.000401877
16,1359.03,0.75406,0.55068,1.0775,0.84504,0.91784,0.92993,0.75231,0.76413,0.52924,1.14121,0.000390868,0.000390868,0.000390868
17,1444.77,0.75166,0.52446,1.07202,0.87294,0.90999,0.93396,0.76008,0.75637,0.52707,1.10946,0.000379859,0.000379859,0.000379859
18,1530.5,0.73979,0.51052,1.06693,0.90053,0.88281,0.93174,0.75454,0.75608,0.52468,1.12651,0.00036885,0.00036885,0.00036885
19,1615.61,0.73946,0.50853,1.06536,0.87387,0.90739,0.92887,0.76186,0.74116,0.5061,1.10614,0.000357842,0.000357842,0.000357842
20,1700.38,0.73328,0.49696,1.07041,0.85957,0.9191,0.93001,0.75846,0.74668,0.5142,1.12298,0.000346833,0.000346833,0.000346833
21,1785.08,0.72028,0.49413,1.05737,0.86513,0.92321,0.92113,0.75232,0.73683,0.58445,1.1195,0.000335824,0.000335824,0.000335824
22,1869.95,0.71577,0.47634,1.05891,0.86306,0.91978,0.92726,0.76341,0.74801,0.5219,1.10974,0.000324815,0.000324815,0.000324815
